#,Country,Average IQ,Education Attainment,Literacy Rate,Number of Nobel Prizes
1,Japan,106.48,,99%,29
2,Taiwan,106.47,,96.1%,4
3,Singapore,105.89,74.5%,96.77%,
4,Hong Kong,105.37,,93.5%,1
5,People's Republic of China,104.1,,96.36%,8
6,South Korea,102.35,,97.97%,
7,Belarus,101.6,,99.72%,2
8,Finland,101.2,,100%,5
9,Liechtenstein,101.07,,100%,
10,Germany,100.74,,99%,111
11,Netherlands,100.74,73%,99%,22
12,Estonia,100.72,85.8%,99.82%,
13,Luxembourg,99.87,,100%,2
14,Macau,99.82,,,
15,Cambodia,99.75,,78.35%,
16,Canada,99.52,,99%,28
17,Australia,99.24,80.1%,99%,12
18,Hungary,99.24,80%,99.38%,13
19,Switzerland,99.24,,99%,27
20,United Kingdom,99.12,79.9%,99%,137
21,North Korea,98.82,,100%,
22,Slovenia,98.6,,99.71%,1
23,New Zealand,98.57,75.1%,99%,3
24,Austria,98.38,,98%,22
25,Iceland,98.26,74.1%,99%,1
26,Denmark,97.83,79.3%,99%,13
27,Belgium,97.49,,99%,11
28,United States of America,97.43,90.9%,99%,400
29,Norway,97.13,,100%,13
30,Sweden,97,,99%,32
31,France,96.69,,99%,71
32,Poland,96.35,87.8%,99.79%,19
33,Slovakia,96.32,,99.6%,
34,Russia,96.29,,99.72%,
35,Lithuania,95.89,89.9%,99.82%,3
36,Croatia,95.75,,99.27%,2
37,Andorra,95.2,,100%,
38,Ireland,95.13,,99%,11
39,Czech Republic,94.92,,99%,6
40,Latvia,94.79,,99.89%,1
41,Italy,94.23,52.5%,99.02%,21
42,New Caledonia,93.92,,96.94%,
43,Vanuatu,93.92,,85.06%,
44,Spain,93.9,53.3%,98.11%,8
45,Bermuda,93.48,,98%,
46,Cyprus,93.39,74.5%,99.06%,1
47,Portugal,92.77,43.5%,95.43%,2
48,Israel,92.43,,97.1%,13
49,Barbados,91.6,,99.7%,
50,Malta,91.27,48.3%,94.07%,
51,Myanmar,91.18,,93.09%,1
52,Mongolia,91.03,45%,98.37%,
53,Bulgaria,90.99,77.8%,98.39%,1
54,Greece,90.77,65.3%,95.29%,2
