#,Country,Gun Ownership Rate,Gun Death Rate,Gun Prohibition
1,United States of America,120.5 per 100,4.12 per 100k,
2,Yemen,52.8 per 100,0.83 per 100k,
3,New Caledonia,42.5 per 100,,
4,Montenegro,39.1 per 100,0.99 per 100k,
5,Serbia,39.1 per 100,0.82 per 100k,
6,Canada,34.7 per 100,0.5 per 100k,
7,Uruguay,34.7 per 100,4.02 per 100k,
8,Cyprus,34 per 100,0.51 per 100k,
9,Finland,32.4 per 100,0.21 per 100k,
10,Lebanon,31.9 per 100,1.3 per 100k,
11,Iceland,31.7 per 100,0.06 per 100k,
12,Bosnia and Herzegovina,31.2 per 100,0.26 per 100k,
13,Austria,30 per 100,0.13 per 100k,
14,Republic of Macedonia,29.8 per 100,0.98 per 100k,
15,Liechtenstein,28.8 per 100,,
16,Norway,28.8 per 100,0.07 per 100k,
17,Malta,28.3 per 100,0.45 per 100k,
18,Switzerland,27.6 per 100,0.18 per 100k,
19,New Zealand,26.3 per 100,0.15 per 100k,
20,Sweden,23.1 per 100,0.25 per 100k,
21,Pakistan,22.3 per 100,0.93 per 100k,
22,Portugal,21.3 per 100,0.4 per 100k,
23,France,19.6 per 100,0.32 per 100k,
24,Germany,19.6 per 100,0.08 per 100k,
25,Iraq,19.6 per 100,6.57 per 100k,
26,Monaco,19.6 per 100,0.09 per 100k,
27,Luxembourg,18.9 per 100,0.21 per 100k,
28,The Bahamas,18.8 per 100,19.72 per 100k,
29,Jordan,18.7 per 100,1.51 per 100k,
30,Venezuela,18.5 per 100,32.75 per 100k,
31,Greece,17.6 per 100,0.35 per 100k,
32,Kuwait,16.7 per 100,0.28 per 100k,
33,Oman,16.7 per 100,0.03 per 100k,
34,Paraguay,16.7 per 100,7.11 per 100k,
35,Qatar,16.7 per 100,0.13 per 100k,
36,Saudi Arabia,16.7 per 100,0.17 per 100k,
37,United Arab Emirates,16.7 per 100,0.3 per 100k,
38,United States Virgin Islands,16.6 per 100,19.29 per 100k,
39,Turkey,16.5 per 100,1.05 per 100k,
40,Suriname,15.9 per 100,2.89 per 100k,
41,Guyana,15.8 per 100,10.22 per 100k,
42,Slovenia,15.6 per 100,0.18 per 100k,
43,Namibia,15.4 per 100,3.37 per 100k,
44,Thailand,15.1 per 100,3.11 per 100k,
45,Australia,14.5 per 100,0.18 per 100k,
46,Italy,14.4 per 100,0.35 per 100k,
47,San Marino,14.4 per 100,0.08 per 100k,
48,Andorra,14.1 per 100,0.08 per 100k,
49,Honduras,14.1 per 100,21.22 per 100k,
50,Croatia,13.7 per 100,0.34 per 100k,
51,Lithuania,13.6 per 100,0.3 per 100k,
52,Libya,13.3 per 100,0.59 per 100k,
53,Mexico,12.9 per 100,15.55 per 100k,
54,Bahrain,12.8 per 100,0.36 per 100k,
55,Belgium,12.7 per 100,0.34 per 100k,
56,Afghanistan,12.5 per 100,1.32 per 100k,
57,Czech Republic,12.5 per 100,0.15 per 100k,
58,Equatorial Guinea,12.5 per 100,0.68 per 100k,
59,Somalia,12.4 per 100,5.06 per 100k,Yes
60,Russia,12.3 per 100,0.72 per 100k,
61,Chile,12.1 per 100,1.82 per 100k,
62,Guatemala,12.1 per 100,28.23 per 100k,
63,Albania,12 per 100,1.39 per 100k,
64,El Salvador,12 per 100,35.5 per 100k,
65,Guam,11.5 per 100,0.58 per 100k,
66,Puerto Rico,11.5 per 100,19.72 per 100k,
67,Angola,11.2 per 100,0.61 per 100k,
68,Panama,10.8 per 100,10.6 per 100k,
69,Hungary,10.5 per 100,0.07 per 100k,
70,Latvia,10.5 per 100,0.42 per 100k,
71,Colombia,10.1 per 100,24.8 per 100k,
72,Georgia,10.1 per 100,1.2 per 100k,
73,Belize,10 per 100,15.04 per 100k,
74,Costa Rica,10 per 100,6.94 per 100k,
75,Denmark,9.9 per 100,0.15 per 100k,
76,Faroe Islands,9.9 per 100,,
77,Ukraine,9.9 per 100,0.62 per 100k,
78,South Africa,9.7 per 100,4.87 per 100k,
79,South Sudan,9.6 per 100,2.78 per 100k,
80,Cayman Islands,9.2 per 100,,
81,Jamaica,8.8 per 100,10.06 per 100k,
82,Saint Martin,8.5 per 100,,
83,Bulgaria,8.4 per 100,0.55 per 100k,
84,Brazil,8.3 per 100,20.8 per 100k,
85,Mauritius,8.3 per 100,0.17 per 100k,
86,Syria,8.2 per 100,1 per 100k,
87,Ghana,8 per 100,0.73 per 100k,
88,Mongolia,7.9 per 100,0.22 per 100k,
89,Spain,7.5 per 100,0.13 per 100k,
90,Argentina,7.4 per 100,3.64 per 100k,
91,Dominican Republic,7.4 per 100,11.28 per 100k,
92,Iran,7.3 per 100,0.6 per 100k,
93,Ireland,7.2 per 100,0.18 per 100k,
94,Israel,6.7 per 100,1.05 per 100k,
95,Sudan,6.6 per 100,0.51 per 100k,
96,Slovakia,6.5 per 100,0.25 per 100k,
97,The Gambia,6.5 per 100,0.24 per 100k,
98,Dominica,6.2 per 100,3.53 per 100k,
99,Maldives,6.2 per 100,0.15 per 100k,Yes
100,Armenia,6.1 per 100,0.64 per 100k,
101,Belarus,6.1 per 100,0.43 per 100k,
102,Antigua and Barbuda,5.4 per 100,1.9 per 100k,
103,Montserrat,5.4 per 100,,
104,India,5.3 per 100,0.56 per 100k,
105,Nicaragua,5.2 per 100,2.9 per 100k,
106,Estonia,5 per 100,0.27 per 100k,
107,Lesotho,4.8 per 100,5.3 per 100k,
108,Morocco,4.8 per 100,0.46 per 100k,
109,Eswatini,4.8 per 100,3.66 per 100k,
110,Bermuda,4.6 per 100,1.5 per 100k,
111,Grenada,4.6 per 100,0.66 per 100k,
112,Cambodia,4.5 per 100,0.95 per 100k,Yes
113,Mozambique,4.5 per 100,2.36 per 100k,
114,Ivory Coast,4.4 per 100,3.28 per 100k,
115,Sint Maarten,4.2 per 100,,
116,Botswana,4.1 per 100,3.48 per 100k,
117,Egypt,4.1 per 100,0.38 per 100k,
118,Seychelles,4.1 per 100,1.69 per 100k,
119,Vanuatu,3.9 per 100,0.17 per 100k,
120,Azerbaijan,3.6 per 100,0.27 per 100k,
121,Hong Kong,3.6 per 100,,
122,Macau,3.6 per 100,,
123,People's Republic of China,3.6 per 100,0.02 per 100k,
124,Philippines,3.6 per 100,8.28 per 100k,
125,Barbados,3.5 per 100,4.3 per 100k,
126,Gabon,3.4 per 100,0.8 per 100k,
127,Saint Kitts and Nevis,3.4 per 100,10.99 per 100k,
128,Saint Lucia,3.4 per 100,9.14 per 100k,
129,Saint Vincent and the Grenadines,3.4 per 100,9.11 per 100k,
130,São Tomé and Príncipe,3.4 per 100,1.54 per 100k,
131,Turks and Caicos Islands,3.3 per 100,,
132,Nigeria,3.2 per 100,1.81 per 100k,
133,Trinidad and Tobago,3.2 per 100,15.21 per 100k,
134,Djibouti,3.1 per 100,3.39 per 100k,
135,Laos,3 per 100,2.47 per 100k,
136,Moldova,3 per 100,0.29 per 100k,
137,Kazakhstan,2.8 per 100,0.56 per 100k,
138,Kyrgyzstan,2.8 per 100,0.4 per 100k,
139,Mauritania,2.8 per 100,1.83 per 100k,
140,Zimbabwe,2.8 per 100,0.88 per 100k,
141,Aruba,2.6 per 100,,
142,Curaçao,2.6 per 100,,
143,Haiti,2.6 per 100,9.79 per 100k,
144,Netherlands,2.6 per 100,0.23 per 100k,
145,Northern Mariana Islands,2.6 per 100,0.97 per 100k,
146,Romania,2.6 per 100,0.06 per 100k,
147,Poland,2.5 per 100,0.08 per 100k,
148,Ecuador,2.4 per 100,5.5 per 100k,
149,Republic of the Congo,2.4 per 100,0.89 per 100k,
150,Sri Lanka,2.4 per 100,1 per 100k,
151,Algeria,2.1 per 100,0.31 per 100k,
152,Cameroon,2.1 per 100,1.03 per 100k,
153,Cuba,2.1 per 100,0.28 per 100k,
154,Liberia,2.1 per 100,0.84 per 100k,
155,Bolivia,2 per 100,2.56 per 100k,
156,Burundi,2 per 100,0.28 per 100k,
157,Peru,2 per 100,1.44 per 100k,
158,Senegal,2 per 100,0.44 per 100k,
159,Central African Republic,1.8 per 100,1.27 per 100k,
160,Myanmar,1.6 per 100,0.38 per 100k,
161,Vietnam,1.6 per 100,0.12 per 100k,
162,Comoros,1.5 per 100,3.16 per 100k,Yes
163,Guinea-Bissau,1.5 per 100,3.43 per 100k,Yes
164,Kenya,1.5 per 100,3.75 per 100k,
165,Nepal,1.5 per 100,0.1 per 100k,
166,Brunei,1.4 per 100,0.07 per 100k,Yes
167,Democratic Republic of the Congo,1.2 per 100,0.49 per 100k,
168,Mali,1.1 per 100,4.45 per 100k,
169,Palestine,1.1 per 100,5.01 per 100k,
170,Tunisia,1.1 per 100,0.2 per 100k,
171,Chad,1 per 100,2.99 per 100k,
172,Guinea,1 per 100,2.65 per 100k,
173,Papua New Guinea,1 per 100,1.16 per 100k,
174,Burkina Faso,0.9 per 100,3.91 per 100k,
175,Zambia,0.9 per 100,3.71 per 100k,
176,Bhutan,0.8 per 100,0.1 per 100k,
177,British Virgin Islands,0.8 per 100,,
178,Tanzania,0.8 per 100,2.22 per 100k,
179,Togo,0.8 per 100,2.51 per 100k,
180,Uganda,0.8 per 100,2.2 per 100k,
181,Federated States of Micronesia,0.7 per 100,1.23 per 100k,
182,Madagascar,0.7 per 100,0.6 per 100k,
183,Malaysia,0.7 per 100,0.35 per 100k,
184,Fiji,0.5 per 100,0.16 per 100k,
185,Marshall Islands,0.5 per 100,1.07 per 100k,Yes
186,Niger,0.5 per 100,2.83 per 100k,
187,Palau,0.5 per 100,0.78 per 100k,Yes
188,Rwanda,0.5 per 100,1.06 per 100k,
189,Sierra Leone,0.5 per 100,0.5 per 100k,
190,Bangladesh,0.4 per 100,0.78 per 100k,
191,Eritrea,0.4 per 100,4.11 per 100k,Yes
192,Ethiopia,0.4 per 100,2.91 per 100k,
193,Tajikistan,0.4 per 100,0.18 per 100k,
194,Turkmenistan,0.4 per 100,0.62 per 100k,
195,Uzbekistan,0.4 per 100,0.08 per 100k,
196,Benin,0.3 per 100,2.57 per 100k,
197,East Timor,0.3 per 100,0.89 per 100k,Yes
198,Japan,0.3 per 100,0.02 per 100k,
199,Malawi,0.3 per 100,0.62 per 100k,
200,North Korea,0.3 per 100,0.12 per 100k,Yes
201,Singapore,0.3 per 100,0.01 per 100k,
202,Solomon Islands,0.2 per 100,1.91 per 100k,Yes
203,South Korea,0.2 per 100,0.02 per 100k,
204,Indonesia,0 per 100,0.06 per 100k,
205,Nauru,0 per 100,1.18 per 100k,Yes
206,Taiwan,0 per 100,0.11 per 100k,
207,Vatican City,0 per 100,,Yes
