#,Country,Stabbing Death Rate,Murder Rate,Female Homicide Rate,Gun Death Rate
1,South Africa,16.95 per 100k,33.46 per 100k,,4.87 per 100k
2,Lesotho,16.38 per 100k,,,5.3 per 100k
3,Eswatini,9.31 per 100k,,,3.66 per 100k
4,Botswana,8.88 per 100k,,,3.48 per 100k
5,Namibia,8.08 per 100k,11.92 per 100k,6.87 per 100k,3.37 per 100k
6,Belize,7.35 per 100k,25.65 per 100k,5.5 per 100k,15.04 per 100k
7,Haiti,7.14 per 100k,,,9.79 per 100k
8,Honduras,6.66 per 100k,36.33 per 100k,6.58 per 100k,21.22 per 100k
9,Colombia,6.55 per 100k,22.64 per 100k,3.53 per 100k,24.8 per 100k
10,Saint Vincent and the Grenadines,6.54 per 100k,,,9.11 per 100k
11,Guyana,6.5 per 100k,19.96 per 100k,9.97 per 100k,10.22 per 100k
12,El Salvador,5.69 per 100k,,,35.5 per 100k
13,Saint Lucia,5.57 per 100k,28.32 per 100k,5.36 per 100k,9.14 per 100k
14,The Bahamas,5.16 per 100k,18.56 per 100k,5.44 per 100k,19.72 per 100k
15,Philippines,4.9 per 100k,,,8.28 per 100k
16,Dominica,4.64 per 100k,20.84 per 100k,,3.53 per 100k
17,Brazil,4.56 per 100k,22.45 per 100k,3.54 per 100k,20.8 per 100k
18,South Sudan,4.43 per 100k,,,2.78 per 100k
19,Russia,4.32 per 100k,7.33 per 100k,3.53 per 100k,0.72 per 100k
20,Dominican Republic,4 per 100k,8.86 per 100k,2.36 per 100k,11.28 per 100k
21,Kazakhstan,3.88 per 100k,3.23 per 100k,1.55 per 100k,0.56 per 100k
22,Laos,3.86 per 100k,,,2.47 per 100k
23,Cuba,3.85 per 100k,,,0.28 per 100k
24,Mexico,3.76 per 100k,28.37 per 100k,6.01 per 100k,15.55 per 100k
25,Somalia,3.76 per 100k,,,5.06 per 100k
26,Trinidad and Tobago,3.69 per 100k,,,15.21 per 100k
27,Mali,3.6 per 100k,,,4.45 per 100k
28,Papua New Guinea,3.57 per 100k,,,1.16 per 100k
29,Barbados,3.48 per 100k,14.27 per 100k,2.02 per 100k,4.3 per 100k
30,Central African Republic,3.41 per 100k,,,1.27 per 100k
31,Paraguay,3.41 per 100k,6.74 per 100k,1.97 per 100k,7.11 per 100k
32,Ukraine,3.35 per 100k,,,0.62 per 100k
33,Niger,3.26 per 100k,,,2.83 per 100k
34,Eritrea,3.19 per 100k,,,4.11 per 100k
35,Guatemala,3.08 per 100k,17.47 per 100k,4.96 per 100k,28.23 per 100k
36,Ecuador,2.93 per 100k,7.78 per 100k,1.87 per 100k,5.5 per 100k
37,Jamaica,2.87 per 100k,44.95 per 100k,7.58 per 100k,10.06 per 100k
38,United States Virgin Islands,2.71 per 100k,,,19.29 per 100k
39,Comoros,2.69 per 100k,,,3.16 per 100k
40,Guinea-Bissau,2.67 per 100k,,,3.43 per 100k
41,Burkina Faso,2.59 per 100k,,,3.91 per 100k
42,Mongolia,2.53 per 100k,5.98 per 100k,2.16 per 100k,0.22 per 100k
43,Latvia,2.48 per 100k,3.71 per 100k,4.13 per 100k,0.42 per 100k
44,Djibouti,2.44 per 100k,,,3.39 per 100k
45,Ivory Coast,2.44 per 100k,,,3.28 per 100k
46,Kenya,2.43 per 100k,3.46 per 100k,1.66 per 100k,3.75 per 100k
