Country,Stabbing Death Rate,Gun Death Rate
South Africa,16.95 per 100k,4.87 per 100k
Lesotho,16.38 per 100k,5.3 per 100k
Eswatini,9.31 per 100k,3.66 per 100k
Botswana,8.88 per 100k,3.48 per 100k
Namibia,8.08 per 100k,3.37 per 100k
Belize,7.35 per 100k,15.04 per 100k
Haiti,7.14 per 100k,9.79 per 100k
Honduras,6.66 per 100k,21.22 per 100k
Colombia,6.55 per 100k,24.8 per 100k
Saint Vincent and the Grenadines,6.54 per 100k,9.11 per 100k
Guyana,6.5 per 100k,10.22 per 100k
El Salvador,5.69 per 100k,35.5 per 100k
Saint Lucia,5.57 per 100k,9.14 per 100k
The Bahamas,5.16 per 100k,19.72 per 100k
Philippines,4.9 per 100k,8.28 per 100k
Dominica,4.64 per 100k,3.53 per 100k
Brazil,4.56 per 100k,20.8 per 100k
South Sudan,4.43 per 100k,2.78 per 100k
Russia,4.32 per 100k,0.72 per 100k
Dominican Republic,4 per 100k,11.28 per 100k
Kazakhstan,3.88 per 100k,0.56 per 100k
Laos,3.86 per 100k,2.47 per 100k
Cuba,3.85 per 100k,0.28 per 100k
Mexico,3.76 per 100k,15.55 per 100k
Somalia,3.76 per 100k,5.06 per 100k
Trinidad and Tobago,3.69 per 100k,15.21 per 100k
Mali,3.6 per 100k,4.45 per 100k
Papua New Guinea,3.57 per 100k,1.16 per 100k
Barbados,3.48 per 100k,4.3 per 100k
Central African Republic,3.41 per 100k,1.27 per 100k
Paraguay,3.41 per 100k,7.11 per 100k
Ukraine,3.35 per 100k,0.62 per 100k
Niger,3.26 per 100k,2.83 per 100k
Eritrea,3.19 per 100k,4.11 per 100k
Guatemala,3.08 per 100k,28.23 per 100k
Ecuador,2.93 per 100k,5.5 per 100k
Jamaica,2.87 per 100k,10.06 per 100k
United States Virgin Islands,2.71 per 100k,19.29 per 100k
Comoros,2.69 per 100k,3.16 per 100k
Guinea-Bissau,2.67 per 100k,3.43 per 100k
Burkina Faso,2.59 per 100k,3.91 per 100k
Mongolia,2.53 per 100k,0.22 per 100k
Latvia,2.48 per 100k,0.42 per 100k
Djibouti,2.44 per 100k,3.39 per 100k
Ivory Coast,2.44 per 100k,3.28 per 100k
Kenya,2.43 per 100k,3.75 per 100k
Zimbabwe,2.41 per 100k,0.88 per 100k
Panama,2.39 per 100k,10.6 per 100k
Nigeria,2.37 per 100k,1.81 per 100k
Zambia,2.26 per 100k,3.71 per 100k
Federated States of Micronesia,2.25 per 100k,1.23 per 100k
Belarus,2.22 per 100k,0.43 per 100k
Venezuela,2.22 per 100k,32.75 per 100k
Republic of the Congo,2.21 per 100k,0.89 per 100k
Suriname,2.21 per 100k,2.89 per 100k
Saint Kitts and Nevis,2.16 per 100k,10.99 per 100k
Seychelles,2.14 per 100k,1.69 per 100k
Gabon,2.12 per 100k,0.8 per 100k
Guinea,2.11 per 100k,2.65 per 100k
Chile,2.09 per 100k,1.82 per 100k
Marshall Islands,2.08 per 100k,1.07 per 100k
Chad,2.04 per 100k,2.99 per 100k
Nicaragua,2.01 per 100k,2.9 per 100k
Equatorial Guinea,2 per 100k,0.68 per 100k
Benin,1.93 per 100k,2.57 per 100k
Togo,1.93 per 100k,2.51 per 100k
