Country,Global Peace Index,Societal Safety and Security Score,Murder Rate,Global Crime Index
Iceland,1.11,1.24,0.54 per 100k,3.39
New Zealand,1.27,1.53,,3.25
Ireland,1.29,1.53,0.44 per 100k,4.9
Austria,1.3,1.45,0.73 per 100k,4.04
Denmark,1.3,1.3,0.8 per 100k,3.86
Portugal,1.3,1.39,0.8 per 100k,4.55
Czech Republic,1.32,1.57,0.45 per 100k,4.63
Slovenia,1.32,1.41,0.42 per 100k,4.29
Singapore,1.33,1.24,0.1 per 100k,3.13
Japan,1.34,1.28,0.23 per 100k,4.53
Switzerland,1.36,1.24,0.48 per 100k,4.34
Canada,1.39,1.64,2.07 per 100k,3.66
Hungary,1.41,1.53,0.77 per 100k,4.5
Croatia,1.44,1.56,0.81 per 100k,5.06
Finland,1.44,1.35,,2.71
Germany,1.46,1.62,0.83 per 100k,4.9
Malaysia,1.47,1.97,0.72 per 100k,5.94
Norway,1.47,1.27,0.54 per 100k,3.81
Bhutan,1.48,1.6,,3.69
Slovakia,1.5,1.84,1.01 per 100k,4.69
Netherlands,1.52,1.53,0.65 per 100k,4.69
Belgium,1.53,1.81,1.08 per 100k,4.34
Qatar,1.53,1.5,0.33 per 100k,5.21
Bulgaria,1.54,1.93,1.28 per 100k,5.43
Poland,1.55,1.93,0.71 per 100k,4.01
Sweden,1.56,1.48,1.08 per 100k,4.56
Australia,1.57,1.66,0.74 per 100k,4.0
Mauritius,1.57,2.13,2.62 per 100k,4.51
Spain,1.6,1.81,0.61 per 100k,5.78
Taiwan,1.62,1.73,,
Italy,1.64,1.93,0.51 per 100k,5.81
Romania,1.64,1.84,1.26 per 100k,4.59
Estonia,1.66,1.7,1.96 per 100k,3.6
Latvia,1.67,1.8,3.04 per 100k,3.51
United Kingdom,1.67,1.73,1.17 per 100k,4.89
Republic of Macedonia,1.7,1.93,,5.31
Lithuania,1.72,1.78,2.58 per 100k,3.31
Costa Rica,1.73,2.23,11.41 per 100k,4.99
Kuwait,1.74,1.76,,5.14
Albania,1.76,2.12,2.31 per 100k,5.63
Ghana,1.76,2.03,1.84 per 100k,6.01
Mongolia,1.78,2.46,6.15 per 100k,4.01
South Korea,1.78,1.59,0.52 per 100k,4.91
The Gambia,1.79,2.37,,4.83
Vietnam,1.79,2.29,,6.28
Botswana,1.8,2.44,10.55 per 100k,3.71
Indonesia,1.8,2.11,,6.38
Montenegro,1.8,2.24,2.39 per 100k,6.0
Sierra Leone,1.8,2.31,,5.4
Uruguay,1.8,2.32,8.9 per 100k,2.69
Laos,1.81,2.08,,5.51
Serbia,1.83,1.98,1.06 per 100k,6.21
Chile,1.84,2.36,3.63 per 100k,4.6
East Timor,1.84,2.37,,3.96
Greece,1.84,1.77,0.85 per 100k,4.93
Zambia,1.84,2.51,,4.93
Bosnia and Herzegovina,1.85,2.04,0.98 per 100k,5.89
Jordan,1.85,2.04,1.02 per 100k,4.71
Equatorial Guinea,1.86,2.2,,4.11
United Arab Emirates,1.87,1.71,0.47 per 100k,5.75
Cambodia,1.88,2.08,,5.83
Moldova,1.88,2.14,,4.45
Panama,1.88,2.52,12.64 per 100k,6.68
Oman,1.89,1.89,0.24 per 100k,4.14
Cyprus,1.9,2.25,1.29 per 100k,4.19
France,1.9,1.87,1.14 per 100k,5.66
Malawi,1.9,2.14,,3.83
Argentina,1.91,2.66,4.62 per 100k,4.38
Namibia,1.91,2.57,12.45 per 100k,4.33
Senegal,1.92,2.34,,4.81
Kosovo,1.94,2.27,1.99 per 100k,
Nepal,1.95,2.49,,6.16
Rwanda,1.95,2.37,,3.68
Gabon,1.97,2.38,,4.9
Liberia,1.97,2.49,,5.05
Morocco,1.97,2.16,1.93 per 100k,4.79
Angola,1.98,2.41,,5.29
Paraguay,1.98,2.53,7.83 per 100k,6.7
Armenia,1.99,1.98,2.19 per 100k,3.26
Bolivia,1.99,2.5,3.49 per 100k,4.3
Dominican Republic,1.99,2.61,10.54 per 100k,5.15
Ecuador,1.99,2.51,14.02 per 100k,6.25
Jamaica,1.99,2.79,52.13 per 100k,5.91
Madagascar,2.0,2.61,,5.59
Tanzania,2.0,2.35,,6.15
Tunisia,2.0,2.51,,3.79
Uzbekistan,2.0,2.22,1.41 per 100k,4.96
People's Republic of China,2.01,2.11,,6.01
Trinidad and Tobago,2.01,2.74,29.36 per 100k,4.94
Sri Lanka,2.02,2.38,,4.64
Kyrgyzstan,2.03,2.28,,5.33
Tajikistan,2.03,2.43,,5.61
Eswatini,2.03,2.58,12.66 per 100k,3.63
Papua New Guinea,2.05,2.8,,5.44
Bangladesh,2.07,2.44,,4.98
Georgia,2.07,2.41,,2.96
Kazakhstan,2.07,2.49,,4.26
Cuba,2.08,2.61,,3.44
Bahrain,2.09,2.41,0.07 per 100k,4.83
Lesotho,2.09,2.53,,3.9
Peru,2.09,2.63,,6.35
Togo,2.09,2.62,,5.33
Thailand,2.1,2.86,,5.76
Turkmenistan,2.12,2.5,,4.61
Benin,2.13,2.57,,5.25
Guatemala,2.14,2.82,19.99 per 100k,6.48
Guyana,2.14,2.9,16.28 per 100k,5.1
Ivory Coast,2.14,2.76,,6.15
Algeria,2.15,2.3,1.57 per 100k,4.51
Guinea-Bissau,2.16,2.59,,5.45
Republic of the Congo,2.18,2.9,,5.03
Mauritania,2.19,2.78,,4.38
Djibouti,2.21,2.56,,3.99
El Salvador,2.23,3.06,18.17 per 100k,5.94
Haiti,2.25,2.74,13.01 per 100k,5.73
Belarus,2.26,2.53,,5.08
Honduras,2.27,3.06,38.25 per 100k,6.98
South Africa,2.28,3.23,41.87 per 100k,6.63
Saudi Arabia,2.29,2.25,,6.01
Kenya,2.3,2.6,5.27 per 100k,6.95
Uganda,2.31,2.76,8.53 per 100k,6.14
Mozambique,2.32,2.8,,6.53
Guinea,2.33,2.59,,5.2
Nicaragua,2.33,2.97,11.01 per 100k,6.06
Egypt,2.34,2.5,,5.16
Philippines,2.34,2.86,,6.84
Zimbabwe,2.35,2.99,6.14 per 100k,5.66
Azerbaijan,2.44,2.53,1.91 per 100k,5.08
United States of America,2.44,2.23,6.81 per 100k,5.5
Brazil,2.47,3.28,,6.5
Burundi,2.47,3.02,,4.51
Eritrea,2.49,3.36,,4.34
Palestine,2.55,2.95,0.88 per 100k,
India,2.58,2.37,2.94 per 100k,5.53
Israel,2.58,2.24,1.94 per 100k,4.41
Chad,2.59,2.9,,5.86
Mexico,2.61,3.16,28.18 per 100k,7.56
Lebanon,2.62,2.75,,6.76
Myanmar,2.63,3.12,28.44 per 100k,7.59
Niger,2.66,2.96,,6.01
Iran,2.69,2.84,,7.1
Cameroon,2.71,3.01,,6.31
Colombia,2.73,3.6,27.48 per 100k,7.66
Nigeria,2.73,3.11,,7.15
Burkina Faso,2.79,2.99,,5.49
Pakistan,2.79,2.65,3.98 per 100k,6.28
Turkey,2.79,3.22,2.52 per 100k,6.89
Venezuela,2.8,4.01,19.31 per 100k,6.64
