Country,Gun Death Rate,Deaths by Firearms,Suicides by Firearms,Accidental Deaths by Firearms
El Salvador,35.5 per 100k,"2,301",0.16 per 100k,0.05 per 100k
Venezuela,32.75 per 100k,"9,338",2.5 per 100k,1.99 per 100k
Guatemala,28.23 per 100k,"5,165",0.36 per 100k,4.23 per 100k
Colombia,24.8 per 100k,"12,596",1 per 100k,0.2 per 100k
Honduras,21.22 per 100k,"1,978",0.35 per 100k,0.8 per 100k
Brazil,20.8 per 100k,"47,510",0.58 per 100k,0.31 per 100k
Puerto Rico,19.72 per 100k,639,0.85 per 100k,0.42 per 100k
The Bahamas,19.72 per 100k,81,0.21 per 100k,0.11 per 100k
United States Virgin Islands,19.29 per 100k,20,2.37 per 100k,0.68 per 100k
Mexico,15.55 per 100k,"20,509",0.73 per 100k,0.56 per 100k
Trinidad and Tobago,15.21 per 100k,217,0.15 per 100k,0.19 per 100k
Belize,15.04 per 100k,67,0.73 per 100k,3.03 per 100k
Dominican Republic,11.28 per 100k,"1,288",0.88 per 100k,1.3 per 100k
Saint Kitts and Nevis,10.99 per 100k,7,0.07 per 100k,3.3 per 100k
Panama,10.6 per 100k,449,0.18 per 100k,0.08 per 100k
Guyana,10.22 per 100k,84,0.39 per 100k,0.64 per 100k
Jamaica,10.06 per 100k,308,0.6 per 100k,2.56 per 100k
Haiti,9.79 per 100k,"1,268",0.48 per 100k,5.22 per 100k
Saint Lucia,9.14 per 100k,17,0.3 per 100k,1.33 per 100k
Saint Vincent and the Grenadines,9.11 per 100k,11,0.15 per 100k,1.48 per 100k
Philippines,8.28 per 100k,"9,028",0.1 per 100k,0.12 per 100k
Paraguay,7.11 per 100k,513,1.24 per 100k,0.37 per 100k
Costa Rica,6.94 per 100k,355,1.28 per 100k,0.11 per 100k
Iraq,6.57 per 100k,"2,649",1.02 per 100k,3.2 per 100k
Ecuador,5.5 per 100k,989,0.51 per 100k,0.27 per 100k
Lesotho,5.3 per 100k,116,2.03 per 100k,1.11 per 100k
Somalia,5.06 per 100k,783,0.63 per 100k,1.97 per 100k
Palestine,5.01 per 100k,231,0.06 per 100k,0.63 per 100k
South Africa,4.87 per 100k,"2,937",0.71 per 100k,0.5 per 100k
Mali,4.45 per 100k,841,0.4 per 100k,0.81 per 100k
Barbados,4.3 per 100k,12,0.24 per 100k,0.73 per 100k
United States of America,4.12 per 100k,"13,001",7.12 per 100k,0.21 per 100k
Eritrea,4.11 per 100k,241,0.65 per 100k,1.04 per 100k
Uruguay,4.02 per 100k,140,4.74 per 100k,2.33 per 100k
Burkina Faso,3.91 per 100k,682,0.53 per 100k,0.84 per 100k
Kenya,3.75 per 100k,"1,533",0.39 per 100k,0.74 per 100k
Zambia,3.71 per 100k,537,0.5 per 100k,0.62 per 100k
Eswatini,3.66 per 100k,43,1.19 per 100k,0.66 per 100k
Argentina,3.64 per 100k,"1,709",2.67 per 100k,0.88 per 100k
Dominica,3.53 per 100k,2,0.16 per 100k,0.47 per 100k
Botswana,3.48 per 100k,88,0.88 per 100k,0.5 per 100k
Guinea-Bissau,3.43 per 100k,55,0.75 per 100k,0.96 per 100k
Djibouti,3.39 per 100k,38,0.39 per 100k,0.69 per 100k
Namibia,3.37 per 100k,81,0.61 per 100k,0.42 per 100k
Ivory Coast,3.28 per 100k,707,0.6 per 100k,0.58 per 100k
Comoros,3.16 per 100k,21,0.37 per 100k,0.83 per 100k
Thailand,3.11 per 100k,"2,351",0.55 per 100k,0.1 per 100k
Chad,2.99 per 100k,380,0.49 per 100k,0.99 per 100k
Ethiopia,2.91 per 100k,"2,293",0.32 per 100k,1 per 100k
Nicaragua,2.9 per 100k,187,0.3 per 100k,0.3 per 100k
Suriname,2.89 per 100k,17,1.09 per 100k,0.75 per 100k
Niger,2.83 per 100k,528,0.38 per 100k,0.69 per 100k
South Sudan,2.78 per 100k,202,0.31 per 100k,0.69 per 100k
Guinea,2.65 per 100k,283,0.53 per 100k,1.01 per 100k
Benin,2.57 per 100k,275,0.44 per 100k,0.74 per 100k
Bolivia,2.56 per 100k,306,0.39 per 100k,0.83 per 100k
Togo,2.51 per 100k,176,0.55 per 100k,0.62 per 100k
Laos,2.47 per 100k,175,0.12 per 100k,0.12 per 100k
Mozambique,2.36 per 100k,595,0.62 per 100k,0.72 per 100k
Tanzania,2.22 per 100k,"1,159",0.36 per 100k,0.57 per 100k
Uganda,2.2 per 100k,799,0.26 per 100k,0.49 per 100k
Solomon Islands,1.91 per 100k,12,1.8 per 100k,0.56 per 100k
Antigua and Barbuda,1.9 per 100k,2,0.07 per 100k,4.16 per 100k
Mauritania,1.83 per 100k,63,0.28 per 100k,0.37 per 100k
Chile,1.82 per 100k,345,0.66 per 100k,0.21 per 100k
Nigeria,1.81 per 100k,"3,482",0.21 per 100k,0.54 per 100k
Seychelles,1.69 per 100k,2,0.16 per 100k,0.04 per 100k
São Tomé and Príncipe,1.54 per 100k,3,0.15 per 100k,0.43 per 100k
Jordan,1.51 per 100k,177,0.08 per 100k,0.08 per 100k
Bermuda,1.5 per 100k,1,0.05 per 100k,0.16 per 100k
Peru,1.44 per 100k,511,0.12 per 100k,0.96 per 100k
Albania,1.39 per 100k,40,0.97 per 100k,0.13 per 100k
Afghanistan,1.32 per 100k,434,0.26 per 100k,0.23 per 100k
Lebanon,1.3 per 100k,70,0.16 per 100k,0.08 per 100k
Central African Republic,1.27 per 100k,59,0.96 per 100k,1.45 per 100k
Federated States of Micronesia,1.23 per 100k,1,1.27 per 100k,0.29 per 100k
Georgia,1.2 per 100k,46,0.69 per 100k,0.86 per 100k
Nauru,1.18 per 100k,0,1.21 per 100k,0.19 per 100k
Papua New Guinea,1.16 per 100k,97,0.18 per 100k,0.27 per 100k
Marshall Islands,1.07 per 100k,1,1.14 per 100k,0.32 per 100k
Rwanda,1.06 per 100k,134,0.38 per 100k,0.54 per 100k
Israel,1.05 per 100k,95,1.05 per 100k,0.1 per 100k
Turkey,1.05 per 100k,967,0.72 per 100k,0.84 per 100k
Cameroon,1.03 per 100k,288,0.52 per 100k,0.51 per 100k
Sri Lanka,1 per 100k,223,0.08 per 100k,0.32 per 100k
Syria,1 per 100k,146,0.12 per 100k,0.12 per 100k
Montenegro,0.99 per 100k,7,3.4 per 100k,0.07 per 100k
Republic of Macedonia,0.98 per 100k,24,0.89 per 100k,0.09 per 100k
Northern Mariana Islands,0.97 per 100k,0,1.22 per 100k,0.28 per 100k
Cambodia,0.95 per 100k,163,0.09 per 100k,0.13 per 100k
Pakistan,0.93 per 100k,"1,721",0.32 per 100k,0.23 per 100k
East Timor,0.89 per 100k,,,
Republic of the Congo,0.89 per 100k,,,
Zimbabwe,0.88 per 100k,119,0.6 per 100k,0.3 per 100k
Liberia,0.84 per 100k,40,0.44 per 100k,0.67 per 100k
Yemen,0.83 per 100k,243,0.29 per 100k,0.44 per 100k
Serbia,0.82 per 100k,79,2.38 per 100k,0.14 per 100k
Gabon,0.8 per 100k,14,0.48 per 100k,0.36 per 100k
Bangladesh,0.78 per 100k,"1,235",0.15 per 100k,0.07 per 100k
Palau,0.78 per 100k,0,0.85 per 100k,0.2 per 100k
Ghana,0.73 per 100k,229,0.3 per 100k,0.49 per 100k
Russia,0.72 per 100k,"1,145",0.72 per 100k,0.19 per 100k
Equatorial Guinea,0.68 per 100k,9,0.24 per 100k,0.2 per 100k
Grenada,0.66 per 100k,1,0.04 per 100k,1.39 per 100k
Armenia,0.64 per 100k,21,0.49 per 100k,0.5 per 100k
Malawi,0.62 per 100k,109,0.52 per 100k,0.62 per 100k
Turkmenistan,0.62 per 100k,33,0.12 per 100k,0.35 per 100k
Ukraine,0.62 per 100k,289,1.19 per 100k,0.23 per 100k
Angola,0.61 per 100k,161,0.37 per 100k,0.48 per 100k
Iran,0.6 per 100k,525,0.3 per 100k,0.11 per 100k
Madagascar,0.6 per 100k,158,0.4 per 100k,0.69 per 100k
Libya,0.59 per 100k,46,0.23 per 100k,0.12 per 100k
Guam,0.58 per 100k,1,1.49 per 100k,0.08 per 100k
India,0.56 per 100k,"7,977",0.44 per 100k,0.04 per 100k
Kazakhstan,0.56 per 100k,107,0.26 per 100k,0.29 per 100k
Bulgaria,0.55 per 100k,40,0.93 per 100k,0.23 per 100k
Cyprus,0.51 per 100k,8,0.77 per 100k,0.06 per 100k
Sudan,0.51 per 100k,207,0.27 per 100k,0.32 per 100k
Canada,0.5 per 100k,170,1.88 per 100k,0.05 per 100k
Sierra Leone,0.5 per 100k,43,0.46 per 100k,0.92 per 100k
Democratic Republic of the Congo,0.49 per 100k,382,0.45 per 100k,0.63 per 100k
Morocco,0.46 per 100k,171,0.27 per 100k,1.09 per 100k
Malta,0.45 per 100k,2,0.55 per 100k,0.15 per 100k
Senegal,0.44 per 100k,63,0.56 per 100k,0.61 per 100k
Belarus,0.43 per 100k,45,0.56 per 100k,0.1 per 100k
Latvia,0.42 per 100k,8,0.81 per 100k,0.09 per 100k
Kyrgyzstan,0.4 per 100k,26,0.11 per 100k,0.19 per 100k
Portugal,0.4 per 100k,47,1.47 per 100k,0.07 per 100k
Egypt,0.38 per 100k,367,0.18 per 100k,0.27 per 100k
Myanmar,0.38 per 100k,211,0.09 per 100k,0.2 per 100k
Bahrain,0.36 per 100k,6,0.1 per 100k,0.12 per 100k
Greece,0.35 per 100k,41,0.94 per 100k,0.1 per 100k
Italy,0.35 per 100k,225,0.84 per 100k,0.11 per 100k
Malaysia,0.35 per 100k,122,0.13 per 100k,0.05 per 100k
Belgium,0.34 per 100k,41,1.58 per 100k,0.06 per 100k
Croatia,0.34 per 100k,16,1.87 per 100k,0.08 per 100k
France,0.32 per 100k,222,2.64 per 100k,0.19 per 100k
Algeria,0.31 per 100k,135,0.17 per 100k,0.12 per 100k
Lithuania,0.3 per 100k,9,0.61 per 100k,0.08 per 100k
United Arab Emirates,0.3 per 100k,38,0.4 per 100k,0.15 per 100k
Moldova,0.29 per 100k,12,0.21 per 100k,0.08 per 100k
Burundi,0.28 per 100k,31,0.5 per 100k,1.1 per 100k
Cuba,0.28 per 100k,32,0.24 per 100k,0.17 per 100k
Kuwait,0.28 per 100k,15,0.06 per 100k,0.01 per 100k
Azerbaijan,0.27 per 100k,29,0.09 per 100k,0.16 per 100k
Estonia,0.27 per 100k,4,0.9 per 100k,0.06 per 100k
Bosnia and Herzegovina,0.26 per 100k,9,0.78 per 100k,0.07 per 100k
Slovakia,0.25 per 100k,15,0.92 per 100k,0.19 per 100k
Sweden,0.25 per 100k,24,1.22 per 100k,0.03 per 100k
The Gambia,0.24 per 100k,5,0.45 per 100k,0.68 per 100k
Netherlands,0.23 per 100k,38,0.26 per 100k,0.02 per 100k
Mongolia,0.22 per 100k,8,0.61 per 100k,0.05 per 100k
Finland,0.21 per 100k,12,2.66 per 100k,0.03 per 100k
Luxembourg,0.21 per 100k,1,1.01 per 100k,0.05 per 100k
Tunisia,0.2 per 100k,24,0.16 per 100k,0.32 per 100k
Australia,0.18 per 100k,45,0.75 per 100k,0.04 per 100k
Ireland,0.18 per 100k,9,0.36 per 100k,0.04 per 100k
Slovenia,0.18 per 100k,4,1.52 per 100k,0.02 per 100k
Switzerland,0.18 per 100k,18,2.47 per 100k,0.04 per 100k
Tajikistan,0.18 per 100k,17,0.03 per 100k,0.21 per 100k
Mauritius,0.17 per 100k,3,0.09 per 100k,0.02 per 100k
Saudi Arabia,0.17 per 100k,80,0.29 per 100k,0.98 per 100k
Vanuatu,0.17 per 100k,0,1.04 per 100k,0.37 per 100k
Fiji,0.16 per 100k,1,0.05 per 100k,0.05 per 100k
Czech Republic,0.15 per 100k,17,1.32 per 100k,0.09 per 100k
Denmark,0.15 per 100k,8,0.93 per 100k,0.03 per 100k
Maldives,0.15 per 100k,1,0.1 per 100k,0.04 per 100k
New Zealand,0.15 per 100k,7,0.87 per 100k,0.06 per 100k
Austria,0.13 per 100k,13,2.47 per 100k,0.04 per 100k
Qatar,0.13 per 100k,4,0.05 per 100k,0.07 per 100k
Spain,0.13 per 100k,70,0.45 per 100k,0.06 per 100k
North Korea,0.12 per 100k,36,0.11 per 100k,0.11 per 100k
Vietnam,0.12 per 100k,128,0.15 per 100k,0.24 per 100k
Taiwan,0.11 per 100k,30,0.07 per 100k,0.02 per 100k
Bhutan,0.1 per 100k,1,0.17 per 100k,0.25 per 100k
Nepal,0.1 per 100k,30,0.43 per 100k,0.1 per 100k
Monaco,0.09 per 100k,0,2.64 per 100k,0.05 per 100k
Andorra,0.08 per 100k,0,0.6 per 100k,0.02 per 100k
Germany,0.08 per 100k,84,1.06 per 100k,0.04 per 100k
Poland,0.08 per 100k,35,0.15 per 100k,0.04 per 100k
San Marino,0.08 per 100k,0,4.08 per 100k,0.04 per 100k
Uzbekistan,0.08 per 100k,29,0.05 per 100k,0.04 per 100k
Brunei,0.07 per 100k,0,0.05 per 100k,0.01 per 100k
Hungary,0.07 per 100k,7,0.48 per 100k,0.03 per 100k
Norway,0.07 per 100k,4,1.35 per 100k,0.02 per 100k
Iceland,0.06 per 100k,0,1.12 per 100k,0.03 per 100k
Indonesia,0.06 per 100k,153,0.06 per 100k,0.05 per 100k
Romania,0.06 per 100k,13,0.06 per 100k,0.04 per 100k
United Kingdom,0.04 per 100k,27,0.17 per 100k,0.03 per 100k
Oman,0.03 per 100k,1,0.04 per 100k,0.01 per 100k
Japan,0.02 per 100k,27,0.04 per 100k,0.02 per 100k
People's Republic of China,0.02 per 100k,334,0.03 per 100k,0.02 per 100k
South Korea,0.02 per 100k,13,0.04 per 100k,0.01 per 100k
Singapore,0.01 per 100k,1,0.02 per 100k,0.01 per 100k
